Player_Name,Team,Opponent,Year,Week,Home_Away,Snap_Count,Snap_Share_Pct,Rush_ATT,Rush_YDS,Rush_Y_per_Att,Rush_TD,Rec_TGT,Rec_REC,Rec_YDS,Rec_Y_per_Rec,Rec_TD,Fantasy_Pts_HalfPPR,RB_Def_Rank,Avg_Fantasy_Pts_Allowed_RB
A.J. Dillon,Packers,Bears,2023,1,Away,29,48,13,19,1.5,0,3,2,17,8.5,0,4.6,,
A.J. Dillon,Packers,Falcons,2023,2,Away,34,68,15,55,3.7,0,1,1,8,8,0,6.8,19,8.85
A.J. Dillon,Packers,Saints,2023,3,Home,41,52,11,33,3,0,0,0,0,0,0,3.3,9,7.48
A.J. Dillon,Packers,Lions,2023,4,Home,38,67,5,11,2.2,0,1,0,0,0,0,1.1,8,7.12
A.J. Dillon,Packers,Raiders,2023,5,Away,37,64,20,76,3.8,1,1,0,0,0,0,13.6,15,9.18
A.J. Dillon,Packers,Broncos,2023,7,Away,36,56,15,61,4.1,0,2,2,34,17,0,10.5,25,17.65
A.J. Dillon,Packers,Vikings,2023,8,Home,35,51,6,11,1.8,0,5,5,41,8.2,0,7.7,9,8.48
A.J. Dillon,Packers,Rams,2023,9,Home,29,40,9,40,4.4,0,1,1,3,3,0,4.8,10,8.51
A.J. Dillon,Packers,Steelers,2023,10,Away,34,50,9,70,7.8,0,3,1,11,11,0,8.6,22,11.24
A.J. Dillon,Packers,Chargers,2023,11,Home,52,72,14,29,2.1,0,4,4,32,8,0,8.1,19,10.51
A.J. Dillon,Packers,Lions,2023,12,Away,29,52,14,43,3.1,0,3,3,38,12.7,0,9.6,4,6.92
A.J. Dillon,Packers,Chiefs,2023,13,Home,40,62,18,73,4.1,0,1,1,14,14,0,9.2,6,7.61
A.J. Dillon,Packers,Giants,2023,14,Away,36,53,15,53,3.5,0,3,2,25,12.5,0,8.8,28,12.35
A.J. Dillon,Packers,Panthers,2023,16,Away,12,18,7,12,1.7,1,0,0,0,0,0,7.2,28,11.65
A.J. Dillon,Packers,Vikings,2023,17,Away,12,16,7,27,3.9,0,0,0,0,0,0,2.7,14,9.27
Aaron Jones Sr.,Packers,Bears,2023,1,Away,28,47,9,41,4.6,1,4,2,86,43,1,25.7,,
Aaron Jones Sr.,Packers,Lions,2023,4,Home,20,35,5,18,3.6,0,2,1,-4,-4,0,1.9,8,7.12
Aaron Jones Sr.,Packers,Broncos,2023,7,Away,23,36,8,35,4.4,0,5,3,22,7.3,0,7.2,25,17.65
Aaron Jones Sr.,Packers,Vikings,2023,8,Home,35,51,7,29,4.1,0,5,4,17,4.3,0,6.6,9,8.48
Aaron Jones Sr.,Packers,Rams,2023,9,Home,41,57,20,73,3.7,1,6,4,26,6.5,0,15.9,10,8.51
Aaron Jones Sr.,Packers,Steelers,2023,10,Away,38,56,13,35,2.7,0,6,4,19,4.8,0,7.4,22,11.24
Aaron Jones Sr.,Packers,Chargers,2023,11,Home,15,21,4,14,3.5,0,2,1,3,3,0,2.2,19,10.51
Aaron Jones Sr.,Packers,Buccaneers,2023,15,Home,29,48,13,53,4.1,0,4,4,16,4,0,8.9,9,8.2
Aaron Jones Sr.,Packers,Panthers,2023,16,Away,34,52,21,127,6,0,3,1,8,8,0,14,28,11.65
Aaron Jones Sr.,Packers,Vikings,2023,17,Away,42,57,20,120,6,0,1,1,10,10,0,13.5,14,9.27
Aaron Jones Sr.,Packers,Bears,2023,18,Home,49,82,22,111,5,0,5,5,30,6,0,16.6,17,9.95
Aaron Jones Sr.,Vikings,Giants,2024,1,Away,30,55,14,94,6.7,1,2,2,15,7.5,0,17.9,,
Aaron Jones Sr.,Vikings,49ers,2024,2,Home,33,61,9,32,3.6,0,6,5,36,7.2,0,7.3,27,15.8
Aaron Jones Sr.,Vikings,Texans,2024,3,Home,38,60,19,102,5.4,0,6,5,46,9.2,1,23.3,2,5.87
Aaron Jones Sr.,Vikings,Packers,2024,4,Away,56,82,22,93,4.2,0,5,4,46,11.5,0,15.9,23,12.08
Aaron Jones Sr.,Vikings,Jets,2024,5,Home,16,22,7,29,4.1,0,1,1,24,24,0,5.8,5,7.89
Aaron Jones Sr.,Vikings,Lions,2024,7,Home,43,72,14,93,6.6,1,3,3,23,7.7,0,19.1,5,7.79
Aaron Jones Sr.,Vikings,Rams,2024,8,Away,46,92,19,58,3.1,0,2,2,37,18.5,0,10.5,25,11.77
Aaron Jones Sr.,Vikings,Colts,2024,9,Home,55,75,21,64,3,0,4,4,18,4.5,0,10.2,27,12.18
Aaron Jones Sr.,Vikings,Jaguars,2024,10,Away,44,52,17,88,5.2,0,3,2,13,6.5,0,11.1,20,11.51
Aaron Jones Sr.,Vikings,Titans,2024,11,Away,39,53,15,39,2.6,0,1,1,4,4,0,4.8,15,10.11
Aaron Jones Sr.,Vikings,Bears,2024,12,Away,56,79,22,106,4.8,1,4,3,23,7.7,0,18.4,16,10.86
Aaron Jones Sr.,Vikings,Cardinals,2024,13,Home,28,53,5,22,4.4,0,4,3,6,2,1,8.3,22,10.89
Aaron Jones Sr.,Vikings,Falcons,2024,14,Home,38,63,13,73,5.6,1,2,2,11,5.5,0,15.4,9,9.56
Aaron Jones Sr.,Vikings,Bears,2024,15,Home,47,61,18,86,4.8,1,3,2,20,10,0,17.6,22,10.9
Aaron Jones Sr.,Vikings,Seahawks,2024,16,Away,54,82,18,67,3.7,0,5,3,26,8.7,0,10.8,19,10.58
Aaron Jones Sr.,Vikings,Packers,2024,17,Home,37,51,12,47,3.9,0,5,4,30,7.5,0,9.7,17,10.44
Aaron Jones Sr.,Vikings,Lions,2024,18,Away,40,62,10,45,4.5,0,6,5,30,6,0,10,10,9.09
Aaron Jones Sr.,Vikings,Bears,2025,1,Away,28,50,8,23,2.9,0,3,3,44,14.7,1,14.2,,
Aaron Jones Sr.,Vikings,Falcons,2025,2,Home,20,43,5,23,4.6,0,1,0,0,0,0,2.3,23,12.5
Aaron Jones Sr.,Vikings,Chargers,2025,8,Away,26,53,5,15,3,0,4,2,15,7.5,0,4,13,10.75
Aaron Jones Sr.,Vikings,Lions,2025,9,Away,26,42,9,78,8.7,0,2,2,20,10,0,10.8,5,7.88
Aaron Jones Sr.,Vikings,Ravens,2025,10,Home,46,71,9,47,5.2,1,6,3,22,7.3,0,14.4,22,11.55
Aaron Jones Sr.,Vikings,Bears,2025,11,Home,37,67,16,70,4.4,0,6,3,11,3.7,0,9.6,20,11.15
Aaron Jones Sr.,Vikings,Packers,2025,12,Away,29,66,9,41,4.6,0,4,3,16,5.3,0,7.2,15,10.04
Adam Prentice,Saints,Titans,2023,1,Home,11,17,0,0,0,0,0,0,0,0,0,0,,
Adam Prentice,Saints,Buccaneers,2023,4,Home,9,14,1,5,5,0,2,1,5,5,0,-0.5,10,7.45
Adam Prentice,Saints,Falcons,2023,12,Away,8,11,0,0,0,0,0,0,0,0,0,0,9,8.33
Adam Prentice,Saints,Lions,2023,13,Home,9,13,0,0,0,0,0,0,0,0,0,0,1,6.81
Adam Prentice,Saints,Giants,2023,15,Home,10,16,0,0,0,0,0,0,0,0,0,0,27,11.89
Adam Prentice,Saints,Buccaneers,2023,17,Away,15,21,1,7,7,0,1,1,7,7,0,1.9,4,7.56
Adam Prentice,Saints,Panthers,2024,1,Home,24,36,0,0,0,0,0,0,0,0,0,0,,
Adam Prentice,Saints,Cowboys,2024,2,Away,26,44,0,0,0,0,1,0,0,0,0,0,28,15.9
Adam Prentice,Saints,Eagles,2024,3,Home,22,39,0,0,0,0,0,0,0,0,0,0,24,12.8
Adam Prentice,Saints,Falcons,2024,4,Away,24,32,0,0,0,0,0,0,0,0,0,0,7,8.08
Adam Prentice,Saints,Chiefs,2024,5,Away,7,13,0,0,0,0,0,0,0,0,0,0,4,7.68
